Sex,Year,Estimated incidence rate of new HIV infection per 1 000 uninfected population,Estimated number of annual new HIV infections,Estimated number of people living with HIV
Female,2006,2.91,640,3800
Male,2006,1.25,500,2800
Female,2007,2.76,620,4000
Male,2007,1.18,500,3000
Female,2008,2.57,590,4100
Male,2008,1.1,500,3200
Female,2009,2.48,580,4200
Male,2009,1.06,500,3300
Female,2010,2.42,570,4300
Male,2010,1.03,500,3400
Female,2011,2.32,560,4300
Male,2011,1,500,3500
Female,2012,2.25,550,4300
Male,2012,0.96,500,3500
Female,2013,2.12,530,4200
Male,2013,0.91,500,3500
Female,2014,2.01,510,4200
Male,2014,0.87,500,3400
Female,2015,1.83,500,4100
Male,2015,0.79,500,3400
Female,2016,1.68,500,4000
Male,2016,0.73,200,3300
Female,2017,1.53,500,3900
Male,2017,0.67,200,3200
Female,2018,1.43,500,3800
Male,2018,0.62,200,3100
Female,2019,1.32,500,3600
Male,2019,0.58,200,3000
Female,1990,7.81,4400,9400
Male,1990,0.46,500,500
Female,1991,8.44,5000,11000
Male,1991,0.49,500,500
Female,1992,8.92,5600,13000
Male,1992,0.51,500,620
Female,1993,8.78,5700,14000
Male,1993,0.5,500,750
Female,1994,8.27,5700,15000
Male,1994,0.47,500,930
Female,1995,7.48,5300,15000
Male,1995,0.43,500,1200
Female,1996,6.8,5100,15000
Male,1996,0.39,500,1500
Female,1997,6.14,4700,15000
Male,1997,0.35,500,2000
Female,1998,5.52,4400,15000
Male,1998,0.32,500,2700
Female,1999,4.96,4100,15000
Male,1999,0.29,500,3500
Female,2000,4.44,3700,15000
Male,2000,0.26,500,4600
Female,2001,3.89,3400,15000
Male,2001,0.23,200,5700
Female,2002,3.5,3100,16000
Male,2002,0.21,200,7000
Female,2003,3.26,3000,16000
Male,2003,0.19,200,8400
Female,2004,2.9,2700,17000
Male,2004,0.17,200,9800
Female,2005,2.62,2500,18000
Male,2005,0.16,200,11000
Female,2006,2.39,2300,19000
Male,2006,0.14,200,12000
Female,2007,2.21,2200,20000
Male,2007,0.13,200,13000
Female,2008,2.08,2100,20000
Male,2008,0.12,200,14000
Female,2009,1.84,2000,21000
Male,2009,0.11,200,15000
Female,2010,1.69,1800,21000
Male,2010,0.1,200,16000
Female,2011,1.55,1700,21000
Male,2011,0.09,200,16000
Female,2012,1.4,1600,21000
Male,2012,0.08,100,17000
Female,2013,1.27,1500,21000
Male,2013,0.08,100,16000
Female,2014,1.17,1400,20000
Male,2014,0.07,100,16000
Female,2015,1.08,1300,20000
Male,2015,0.06,100,16000
Female,2016,0.99,1300,19000
Male,2016,0.06,100,15000
Female,2017,0.88,1100,18000
Male,2017,0.05,100,15000
Female,2018,0.76,1000,17000
Male,2018,0.05,100,14000
Female,2019,0.66,900,16000
Male,2019,0.04,100,14000
Female,1990,2.95,1800,3500
Male,1990,0.54,500,590
Female,1991,4,2500,4900
Male,1991,0.72,500,810
Female,1992,5.18,3300,6700
Male,1992,0.91,590,1100
Female,1993,6.56,4300,9000
Male,1993,1.14,770,1400
Female,1994,7.89,5400,12000
Male,1994,1.35,940,1800
Female,1995,9.25,6500,15000
Male,1995,1.57,1100,2300
Female,1996,10.15,7400,17000
Male,1996,1.72,1300,2700
Female,1997,10.7,8100,20000
Male,1997,1.8,1400,3100
Female,1998,10.77,8500,22000
Male,1998,1.82,1500,3400
Female,1999,10.4,8500,23000
Male,1999,1.76,1500,3700
Female,2000,9.51,8000,23000
Male,2000,1.62,1400,3900
Female,2001,8.57,7500,23000
Male,2001,1.46,1300,4000
Female,2002,7.54,6800,22000
Male,2002,1.29,1200,4100
Female,2003,6.62,6100,21000
Male,2003,1.13,1100,4300
Female,2004,5.9,5600,20000
Male,2004,1,980,4600
Female,2005,5.32,5200,19000
Male,2005,0.91,910,5100
Female,2006,4.91,4900,18000
Male,2006,0.84,860,5700
Female,2007,4.65,4800,18000
Male,2007,0.79,830,6500
Female,2008,4.43,4600,19000
Male,2008,0.75,800,7400
Female,2009,4.15,4400,19000
Male,2009,0.7,770,8300
Female,2010,3.86,4200,20000
Male,2010,0.65,720,9200
Female,2011,3.54,3900,20000
Male,2011,0.59,670,10000
Female,2012,3.23,3600,20000
Male,2012,0.54,620,11000
Female,2013,2.94,3400,20000
Male,2013,0.49,580,11000
Female,2014,2.73,3200,20000
Male,2014,0.45,540,12000
Female,2015,2.51,3000,20000
Male,2015,0.42,510,12000
Female,2016,2.27,2800,20000
Male,2016,0.38,500,13000
Female,2017,2,2600,20000
Male,2017,0.33,500,13000
Female,2018,1.72,2300,19000
Male,2018,0.28,500,13000
Female,2019,1.54,2100,18000
Male,2019,0.25,500,13000
Female,1990,3.59,7900,20000
Male,1990,0.77,1700,4600
Female,1991,3.6,8100,22000
Male,1991,0.73,1700,4800
Female,1992,3.54,8300,23000
Male,1992,0.68,1600,5000
Female,1993,3.33,8100,24000
Male,1993,0.62,1500,5200
Female,1994,3.15,7900,24000
Male,1994,0.56,1400,5500
Female,1995,2.95,7700,24000
Male,1995,0.5,1300,6000
Female,1996,2.82,7600,24000
Male,1996,0.47,1300,6600
Female,1997,2.5,6900,24000
Male,1997,0.41,1100,7300
Female,1998,2.33,6600,24000
Male,1998,0.38,1100,8100
Female,1999,2.12,6200,24000
Male,1999,0.34,1000,9100
Female,2000,1.98,5900,25000
Male,2000,0.31,950,10000
Female,2001,1.84,5700,25000
Male,2001,0.29,910,11000
Female,2002,1.71,5400,26000
Male,2002,0.27,860,13000
Female,2003,1.61,5300,26000
Male,2003,0.25,840,14000
Female,2004,1.48,5000,27000
Male,2004,0.23,790,15000
Female,2005,1.43,5000,28000
Male,2005,0.22,790,16000
Female,2006,1.34,4800,28000
Male,2006,0.21,760,17000
Female,2007,1.27,4700,29000
Male,2007,0.2,750,18000
Female,2008,1.16,4400,29000
Male,2008,0.18,700,19000
Female,2009,1.1,4300,29000
Male,2009,0.17,690,19000
Female,2010,1.02,4100,29000
Male,2010,0.16,660,20000
Female,2011,0.95,4000,29000
Male,2011,0.15,630,20000
Female,2012,0.88,3800,29000
Male,2012,0.14,600,20000
Female,2013,0.82,3600,29000
Male,2013,0.13,580,20000
Female,2014,0.77,3600,29000
Male,2014,0.12,560,20000
Female,2015,0.72,3500,28000
Male,2015,0.11,550,20000
