Sex,Year,Estimated incidence rate of new HIV infection per 1 000 uninfected population,Estimated number of annual new HIV infections,Estimated number of people living with HIV
Male,2008,0.03,100,500
Male,2008,5.62,14000,64000
Male,2008,0.69,500,3100
Male,2008,0.04,100,500
Male,2008,0.98,1500,37000
Male,2008,1.42,3100,34000
Male,2008,3.14,2000,21000
Male,2008,3.38,2400,37000
Male,2009,3.23,500,2700
Male,2009,0.9,1800,59000
Male,2009,4.55,510,4900
Male,2009,0.01,100,100
Male,2009,0.95,750,27000
Male,2009,0.39,100,100
Male,2009,3.26,4400,26000
Male,2009,2.55,500,3500
Male,2009,0.28,200,6500
Male,2009,0.02,100,500
Male,2009,5.3,13000,68000
Male,2009,0.69,500,3400
Male,2009,0.04,100,500
Male,2009,0.94,1500,38000
Male,2009,1.41,3100,36000
Male,2009,3.11,2000,22000
Male,2009,3.26,2300,39000
Male,2010,1.73,200,2800
Male,2010,0.86,1700,61000
Male,2010,4.21,500,5400
Male,2010,0.02,100,100
Male,2010,0.91,730,29000
Male,2010,0.36,100,100
Male,2010,3.28,4600,29000
Male,2010,2.5,500,3900
Male,2010,0.24,200,6800
Male,2010,0.02,100,500
Male,2010,4.96,12000,73000
Male,2010,0.69,500,3700
Male,2010,0.04,100,550
Male,2010,0.9,1500,38000
Male,2010,1.4,3200,37000
Male,2010,3.03,2000,23000
Male,2010,3.14,2200,39000
Male,2011,0.63,100,2900
Male,2011,0.79,1600,62000
Male,2011,3.96,500,5800
Male,2011,0.02,100,100
Male,2011,0.87,700,30000
Male,2011,0.31,100,100
Male,2011,3.26,4700,32000
Male,2011,2.34,500,4200
Male,2011,0.22,100,7100
Male,2011,0.02,100,500
Male,2011,4.58,11000,79000
Male,2011,0.69,500,3900
Male,2011,0.04,100,610
Male,2011,0.85,1400,38000
Male,2011,1.38,3200,39000
Male,2011,2.99,2100,24000
Male,2011,2.78,1900,40000
Male,2012,1.14,100,3200
Male,2012,0.73,1500,61000
Male,2012,3.68,500,6100
Male,2012,0.02,100,100
Male,2012,0.81,670,31000
Male,2012,0.28,100,100
Male,2012,3.23,4800,36000
Male,2012,2.19,500,4500
Male,2012,0.19,100,7300
Male,2012,0.01,100,500
Male,2012,4.18,10000,86000
Male,2012,0.7,500,4100
Male,2012,0.04,100,670
Male,2012,0.8,1400,39000
Male,2012,1.36,3200,40000
Male,2012,2.92,2100,25000
Male,2012,2.52,1700,40000
Male,2013,1.69,200,3500
Male,2013,0.68,1500,61000
Male,2013,3.37,500,6400
Male,2013,0.03,100,200
Male,2013,0.75,630,32000
Male,2013,0.27,100,100
Male,2013,3.18,4900,39000
Male,2013,2.07,500,4700
Male,2013,0.17,100,7500
Male,2013,0.01,100,500
Male,2013,3.8,9000,92000
Male,2013,0.71,500,4300
Male,2013,0.04,100,730
Male,2013,0.73,1300,39000
Male,2013,1.27,3100,41000
Male,2013,2.88,2100,26000
Male,2013,2.34,1600,40000
Male,2014,2.2,200,3800
Male,2014,0.64,1400,59000
Male,2014,3.08,500,6500
Male,2014,0.03,100,200
Male,2014,0.7,610,33000
Male,2014,0.25,100,100
Male,2014,3.07,4800,41000
Male,2014,1.89,500,5000
Male,2014,0.15,100,7700
Male,2014,0.01,100,500
Male,2014,3.47,8100,99000
Male,2014,0.71,500,4400
Male,2014,0.03,100,790
Male,2014,0.65,1200,39000
Male,2014,1.22,3100,41000
Male,2014,2.8,2100,26000
Male,2014,2.15,1500,39000
Male,2015,2.46,200,4100
Male,2015,0.59,1300,58000
Male,2015,2.79,500,6600
Male,2015,0.03,100,200
Male,2015,0.66,590,33000
Male,2015,0.25,100,100
Male,2015,2.96,4700,44000
Male,2015,1.85,500,5100
Male,2015,0.14,100,7900
Male,2015,0.01,100,500
Male,2015,3.15,7200,110000
Male,2015,0.71,500,4500
Male,2015,0.03,100,840
Male,2015,0.59,1200,40000
Male,2015,1.15,3000,42000
Male,2015,2.63,2100,26000
Male,2015,1.98,1400,38000
Male,2016,2.51,200,4300
Male,2016,0.51,1200,57000
Male,2016,2.58,500,6500
Male,2016,0.03,100,200
Male,2016,0.62,580,34000
Male,2016,0.25,100,100
Male,2016,2.82,4600,46000
Male,2016,1.73,500,5200
Male,2016,0.13,100,8000
Male,2016,0.01,100,500
Male,2016,2.8,6300,110000
Male,2016,0.7,500,4500
Male,2016,0.03,100,890
Male,2016,0.55,1200,41000
Male,2016,1.09,2900,43000
Male,2016,2.46,2000,26000
Male,2016,1.83,1300,38000
Male,2017,2.34,200,4500
Male,2017,0.46,1100,55000
Male,2017,2.37,500,6400
Male,2017,0.04,100,200
Male,2017,0.57,550,34000
Male,2017,0.27,100,100
Male,2017,2.68,4400,47000
Male,2017,1.68,200,5300
Male,2017,0.12,100,8000
Male,2017,0.01,100,500
Male,2017,2.42,5400,120000
Male,2017,0.71,500,4600
Male,2017,0.03,100,930
Male,2017,0.5,1100,41000
Male,2017,1.03,2900,43000
Male,2017,2.41,2000,26000
Male,2017,1.66,1200,37000
Male,2018,1.74,200,4600
Male,2018,0.41,1000,53000
Male,2018,2.22,500,6300
Male,2018,0.04,100,200
Male,2018,0.52,510,34000
Male,2018,0.28,100,100
Male,2018,2.55,4300,49000
Male,2018,1.54,200,5400
Male,2018,0.12,100,7900
Male,2018,0.01,100,500
Male,2018,2.07,4600,130000
Male,2018,0.72,500,4600
Male,2018,0.03,100,980
Male,2018,0.45,1000,41000
Male,2018,0.97,2800,43000
Male,2018,2.33,2000,26000
Male,2018,1.46,1100,37000
Male,2019,1.46,100,4600
Male,2019,0.39,1000,50000
Male,2019,2.12,500,6100
Male,2019,0.04,100,500
Male,2019,0.47,500,33000
Male,2019,0.3,100,100
Male,2019,2.43,4200,50000
Male,2019,1.42,200,5500
Male,2019,0.11,100,7700
Male,2019,0.01,100,500
Male,2019,1.81,4000,140000
Male,2019,0.72,500,4600
Male,2019,0.03,100,1000
Male,2019,0.41,980,42000
Male,2019,0.88,2600,42000
Male,2019,2.13,1900,26000
Male,2019,1.43,1100,37000
Female,1990,3.37,1000,2300
Female,1990,1.46,100,100
Female,1990,10.32,1000,2100
Female,1990,,,3600
Female,1990,,,100
Female,1990,0.15,100,200
Female,1990,1.12,6100,13000
Female,1990,0.12,100,100
Female,1990,2.78,600,1400
Female,1990,2.85,570,1400
Female,1991,3.69,1100,2700
Female,1991,1.74,100,100
Female,1991,11.9,1200,2600
Female,1991,,,4000
Female,1991,,,100
Female,1991,0.17,100,200
Female,1991,1.25,6900,16000
Female,1991,0.14,100,200
Female,1991,3.05,660,1600
Female,1991,3.08,630,1600
Female,1992,3.92,1300,3100
Female,1992,2.05,100,100
Female,1992,9.9,960,2700
Female,1992,,,4200
Female,1992,,,100
Female,1992,0.2,100,200
Female,1992,1.36,7700,18000
Female,1992,0.17,100,200
Female,1992,3.35,730,1800
Female,1992,3.46,740,1800
Female,1993,3.93,1300,3400
Female,1993,2.3,100,200
Female,1993,8.85,870,2700
Female,1993,,,4300
Female,1993,,,100
Female,1993,0.23,200,500
Female,1993,1.47,8500,20000
Female,1993,0.2,100,200
Female,1993,3.66,790,2000
Female,1993,3.82,840,2100
Female,1994,3.69,1300,3600
Female,1994,2.62,100,200
Female,1994,7.75,790,2500
Female,1994,,,4400
Female,1994,,,100
Female,1994,0.25,200,500
Female,1994,1.54,9100,23000
Female,1994,0.24,200,500
Female,1994,3.81,820,2100
Female,1994,4.34,990,2500
Female,1995,3.52,1300,3600
Female,1995,2.79,100,200
Female,1995,6.66,720,2400
Female,1995,,,4300
Female,1995,,,100
Female,1995,0.26,200,500
Female,1995,1.56,9400,24000
Female,1995,0.26,200,500
Female,1995,3.73,810,2200
Female,1995,4.64,1100,2900
Female,1996,3.4,1300,3700
Female,1996,2.95,100,200
Female,1996,5.54,650,2300
Female,1996,,,4200
Female,1996,,,100
Female,1996,0.27,200,500
Female,1996,1.56,9600,26000
Female,1996,0.28,200,500
Female,1996,3.86,840,2400
Female,1996,4.94,1200,3300
Female,1997,2.99,1200,3700
Female,1997,3.21,100,200
Female,1997,4.64,590,2100
Female,1997,,,4200
Female,1997,,,100
Female,1997,0.27,200,500
Female,1997,1.55,9700,27000
Female,1997,0.3,200,500
Female,1997,3.66,810,2400
Female,1997,4.95,1300,3700
Female,1998,2.73,1100,3700
Female,1998,3.37,100,500
Female,1998,5.16,710,2200
Female,1998,,,4200
Female,1998,,,100
Female,1998,0.26,200,500
Female,1998,1.51,9700,28000
Female,1998,0.3,200,500
Female,1998,3.56,810,2500
Female,1998,4.72,1200,3900
Female,1999,2.46,1000,3700
Female,1999,3.41,100,500
Female,1999,4.81,700,2300
Female,1999,,,4200
Female,1999,,,100
Female,1999,0.24,200,500
Female,1999,1.45,9500,29000
Female,1999,0.31,200,500
Female,1999,3.54,830,2600
Female,1999,4.16,1100,4000
Female,2000,2.34,1000,3700
Female,2000,3.54,200,500
Female,2000,4.66,710,2400
Female,2000,,,4300
Female,2000,,,100
Female,2000,0.23,200,500
Female,2000,1.4,9300,30000
Female,2000,0.29,200,500
Female,2000,3.36,830,2700
Female,2000,3.78,1000,3900
Female,2001,2.13,960,3900
Female,2001,3.66,200,500
Female,2001,4.05,630,2400
Female,2001,,,4500
Female,2001,,,100
Female,2001,0.2,200,500
Female,2001,1.3,8800,31000
Female,2001,0.28,200,510
Female,2001,3.18,820,2800
Female,2001,3.27,920,3800
Female,2002,1.97,930,4000
Female,2002,3.63,200,500
Female,2002,3.58,560,2400
Female,2002,,,4600
Female,2002,,,100
Female,2002,0.17,200,530
Female,2002,1.24,8500,31000
Female,2002,0.26,200,550
Female,2002,3.15,850,3000
Female,2002,2.88,820,3700
Female,2003,1.96,960,4300
Female,2003,3.74,200,500
Female,2003,3.15,500,2300
Female,2003,,,4800
Female,2003,,,100
Female,2003,0.16,100,570
Female,2003,1.18,8300,33000
Female,2003,0.23,200,580
Female,2003,2.95,830,3100
Female,2003,2.61,760,3600
Female,2004,1.7,870,4500
Female,2004,3.83,200,500
Female,2004,2.94,500,2300
Female,2004,,,5000
Female,2004,,,100
Female,2004,0.13,100,610
Female,2004,1.14,8200,34000
Female,2004,0.2,200,610
Female,2004,2.94,860,3300
Female,2004,2.45,730,3600
Female,2005,1.69,900,4800
Female,2005,3.86,200,500
Female,2005,2.81,500,2300
Female,2005,,,5200
Female,2005,,,100
Female,2005,0.12,100,670
Female,2005,1.1,8100,36000
Female,2005,0.18,200,660
Female,2005,2.82,860,3400
Female,2005,2.34,700,3700
Female,2006,1.53,840,5000
Female,2006,3.99,200,500
Female,2006,2.67,500,2400
Female,2006,,,5400
Female,2006,,,100
Female,2006,0.09,100,730
Female,2006,1.08,8100,39000
Female,2006,0.15,100,700
Female,2006,2.77,860,3600
Female,2006,2.25,680,3800
Female,2007,1.48,850,5300
Female,2007,4.08,200,500
Female,2007,2.54,500,2400
Female,2007,,,5600
Female,2007,,,100
Female,2007,0.08,100,810
Female,2007,1.07,8200,41000
Female,2007,0.13,100,760
Female,2007,2.76,880,3800
Female,2007,2.16,670,4000
Female,2008,1.4,840,5600
Female,2008,4.05,200,510
Female,2008,2.48,500,2500
Female,2008,,,5900
Female,2008,,,100
Female,2008,0.07,100,890
Female,2008,1.06,8400,44000
Female,2008,0.1,100,830
Female,2008,2.69,880,3900
Female,2008,2.07,640,4200
Female,2009,1.23,760,5800
Female,2009,4.27,200,560
Female,2009,2.37,500,2600
Female,2009,,,6100
Female,2009,,,200
Female,2009,0.07,100,980
Female,2009,1.01,8200,47000
Female,2009,0.08,100,910
Female,2009,2.62,880,4100
Female,2009,1.95,620,4300
Female,2010,1.16,750,5900
Female,2010,4.37,200,610
Female,2010,2.1,200,910
Female,2010,2.24,500,2600
Female,2010,,,6300
Female,2010,,,200
Female,2010,0.05,100,1100
Female,2010,0.99,8300,49000
Female,2010,0.07,100,1000
Female,2010,2.53,870,4200
Female,2010,1.77,570,4400
Female,2011,1.07,710,6100
Female,2011,4.52,200,660
Female,2011,2.01,200,970
Female,2011,2.11,500,2700
Female,2011,,,6500
Female,2011,,,200
Female,2011,0.05,100,1200
Female,2011,0.97,8300,51000
Female,2011,0.06,100,1100
Female,2011,2.45,860,4300
Female,2011,1.59,520,4600
Female,2012,1.03,720,6200
Female,2012,4.6,200,720
Female,2012,1.92,200,1000
Female,2012,1.99,500,2700
Female,2012,,,6600
Female,2012,,,200
Female,2012,0.05,100,1200
Female,2012,0.96,8400,54000
Female,2012,0.06,100,1200
Female,2012,2.37,850,4400
Female,2012,1.46,500,4600
Female,2013,0.99,710,6300
Female,2013,4.57,500,770
Female,2013,1.82,200,1100
Female,2013,1.9,500,2600
Female,2013,,,6700
Female,2013,,,200
Female,2013,0.05,100,1300
Female,2013,0.9,8100,55000
Female,2013,0.05,100,1200
Female,2013,2.32,850,4500
Female,2013,1.36,500,4700
Female,2014,0.94,700,6300
Female,2014,4.38,500,820
Female,2014,1.73,200,1100
Female,2014,1.8,500,2600
Female,2014,,,6800
Female,2014,,,200
Female,2014,0.04,100,1300
Female,2014,0.81,7500,56000
Female,2014,0.05,100,1300
Female,2014,2.28,850,4600
Female,2014,1.31,500,4700
Female,2015,0.86,660,6300
Female,2015,4.44,500,870
Female,2015,1.62,200,1200
Female,2015,1.73,500,2600
Female,2015,,,7000
Female,2015,,,200
Female,2015,0.04,100,1400
Female,2015,0.76,7200,57000
Female,2015,0.05,100,1300
Female,2015,2.23,850,4700
Female,2015,1.27,500,4800
Female,2016,0.76,610,6200
Female,2016,4.54,500,930
Female,2016,1.51,200,1200
Female,2016,1.64,500,2500
Female,2016,,,7000
Female,2016,,,200
Female,2016,0.04,100,1400
Female,2016,0.73,7100,57000
Female,2016,0.05,100,1400
Female,2016,2.15,840,4800
Female,2016,1.21,500,4900
Female,2017,0.75,620,6100
Female,2017,4.47,500,980
Female,2017,1.39,200,1200
Female,2017,1.54,500,2500
Female,2017,,,7100
Female,2017,,,200
Female,2017,0.03,100,1400
Female,2017,0.71,7100,57000
Female,2017,0.04,100,1400
Female,2017,2.04,820,4800
Female,2017,1.11,500,4900
Female,2018,0.73,630,6000
Female,2018,4.26,500,1000
Female,2018,1.31,200,1200
Female,2018,1.39,500,2400
Female,2018,,,7200
Female,2018,,,200
Female,2018,0.03,100,1300
Female,2018,0.69,7100,57000
Female,2018,0.04,100,1400
Female,2018,1.89,780,4700
Female,2018,1.01,500,4800
Female,2019,0.67,600,5900
Female,2019,4.3,500,1100
Female,2019,1.2,200,1200
Female,2019,1.27,500,2300
Female,2019,,,7300
Female,2019,,,200
Female,2019,0.03,100,1300
Female,2019,0.68,7100,58000
Female,2019,0.04,100,1400
Female,2019,1.78,750,4700
Female,2019,0.94,500,4700
Male,1990,1.06,500,660
Male,1990,0.66,100,100
Male,1990,4.75,500,1000
Male,1990,,,1000
Male,1990,,,100
Male,1990,0.04,100,100
Male,1990,0.65,3700,8000
Male,1990,0.04,100,100
Male,1990,1.17,500,570
Male,1990,0.51,200,500
Male,1991,1.13,500,770
Male,1991,0.78,100,100
Male,1991,5.34,530,1200
Male,1991,,,1100
Male,1991,,,100
Male,1991,0.05,100,100
Male,1991,0.7,4100,9100
Male,1991,0.05,100,100
Male,1991,1.25,500,650
Male,1991,0.54,200,500
Male,1992,1.19,500,870
Male,1992,0.88,100,100
Male,1992,4.36,500,1200
Male,1992,,,1200
Male,1992,,,100
Male,1992,0.07,100,100
Male,1992,0.75,4400,10000
Male,1992,0.06,100,100
Male,1992,1.34,500,720
Male,1992,0.6,200,500
Male,1993,1.17,500,960
Male,1993,0.99,100,100
Male,1993,3.84,500,1200
Male,1993,,,1200
Male,1993,,,100
Male,1993,0.08,100,100
Male,1993,0.79,4800,11000
Male,1993,0.07,100,100
Male,1993,1.45,500,790
Male,1993,0.65,200,500
Male,1994,1.1,500,1000
Male,1994,1.08,100,100
Male,1994,3.32,500,1100
Male,1994,,,1300
Male,1994,,,100
Male,1994,0.09,100,100
Male,1994,0.83,5100,12000
Male,1994,0.08,100,100
Male,1994,1.48,500,850
Male,1994,0.73,200,550
Male,1995,1.04,500,1100
Male,1995,1.17,100,100
Male,1995,2.83,500,1000
Male,1995,,,1300
Male,1995,,,100
Male,1995,0.09,100,200
Male,1995,0.82,5200,13000
Male,1995,0.09,100,100
Male,1995,1.44,500,890
Male,1995,0.78,200,690
Male,1996,1,500,1100
Male,1996,1.22,100,100
Male,1996,2.34,500,990
Male,1996,,,1400
Male,1996,,,100
Male,1996,0.09,100,200
Male,1996,0.8,5100,14000
Male,1996,0.1,100,200
Male,1996,1.48,500,940
Male,1996,0.82,500,830
Male,1997,0.88,500,1200
Male,1997,1.3,100,100
Male,1997,1.94,500,950
Male,1997,,,1400
Male,1997,,,100
Male,1997,0.09,100,200
Male,1997,0.76,5000,15000
Male,1997,0.1,100,200
Male,1997,1.4,500,980
Male,1997,0.82,500,980
Male,1998,0.8,500,1300
Male,1998,1.33,100,100
Male,1998,2.17,500,1000
Male,1998,,,1600
Male,1998,,,100
Male,1998,0.09,100,200
Male,1998,0.72,4800,15000
Male,1998,0.11,100,200
Male,1998,1.35,500,1000
Male,1998,0.78,500,1100
Male,1999,0.72,500,1400
Male,1999,1.35,100,200
Male,1999,2.02,500,1100
Male,1999,,,1700
Male,1999,,,100
Male,1999,0.08,100,200
Male,1999,0.66,4500,16000
Male,1999,0.11,100,200
Male,1999,1.35,500,1100
Male,1999,0.69,200,1200
Male,2000,0.69,500,1600
Male,2000,1.41,100,200
Male,2000,1.96,500,1200
Male,2000,,,2000
Male,2000,,,100
Male,2000,0.07,100,500
Male,2000,0.63,4400,17000
Male,2000,0.1,100,500
Male,2000,1.29,500,1200
Male,2000,0.63,200,1300
Male,2001,0.63,500,1800
Male,2001,1.46,100,200
Male,2001,1.7,500,1300
Male,2001,,,2200
Male,2001,,,100
Male,2001,0.06,100,500
Male,2001,0.57,4100,18000
Male,2001,0.1,100,500
Male,2001,1.22,500,1300
Male,2001,0.54,200,1400
Male,2002,0.58,500,2000
Male,2002,1.44,100,200
Male,2002,1.5,500,1400
Male,2002,,,2400
Male,2002,,,100
Male,2002,0.05,100,500
Male,2002,0.53,3900,19000
Male,2002,0.09,100,500
Male,2002,1.2,500,1400
Male,2002,0.47,200,1500
Male,2003,0.57,500,2300
Male,2003,1.48,100,200
Male,2003,1.32,500,1400
Male,2003,,,2700
Male,2003,,,100
Male,2003,0.05,100,500
Male,2003,0.51,3800,20000
Male,2003,0.08,100,500
Male,2003,1.13,500,1600
Male,2003,0.43,200,1600
Male,2004,0.5,500,2600
Male,2004,1.49,100,200
Male,2004,1.23,500,1500
Male,2004,,,2900
Male,2004,,,100
Male,2004,0.04,100,500
Male,2004,0.49,3700,23000
Male,2004,0.07,100,500
Male,2004,1.13,500,1700
Male,2004,0.4,200,1800
Male,2005,0.5,500,2900
Male,2005,1.49,100,500
Male,2005,1.17,200,1500
Male,2005,,,3200
Male,2005,,,100
Male,2005,0.03,100,530
Male,2005,0.48,3700,25000
Male,2005,0.06,100,500
Male,2005,1.08,500,1900
Male,2005,0.38,200,2000
Male,2006,0.45,500,3200
Male,2006,1.55,100,500
Male,2006,1.11,200,1600
Male,2006,,,3400
Male,2006,,,100
Male,2006,0.03,100,620
Male,2006,0.47,3700,28000
Male,2006,0.05,100,530
Male,2006,1.06,500,2100
Male,2006,0.37,200,2200
Male,2007,0.44,500,3600
Male,2007,1.58,100,500
Male,2007,1.06,200,1700
Male,2007,,,3600
Male,2007,,,100
Male,2007,0.02,100,710
Male,2007,0.46,3700,30000
Male,2007,0.05,100,610
Male,2007,1.05,500,2200
Male,2007,0.35,200,2400
Male,2008,0.41,500,3900
Male,2008,1.58,100,500
Male,2008,1.03,200,1800
Male,2008,,,3800
Male,2008,,,100
Male,2008,0.02,100,810
Male,2008,0.45,3800,33000
Male,2008,0.04,100,710
Male,2008,1.03,500,2400
Male,2008,0.33,200,2600
Male,2009,0.36,500,4100
Male,2009,1.67,100,500
Male,2009,0.98,200,1900
Male,2009,,,4000
Male,2009,,,100
Male,2009,0.01,100,910
Male,2009,0.42,3600,36000
Male,2009,0.03,100,810
Male,2009,1,500,2500
Male,2009,0.31,200,2900
Male,2010,0.34,500,4400
Male,2010,1.7,100,500
Male,2010,0.91,100,630
Male,2010,0.92,200,2000
Male,2010,,,4200
Male,2010,,,200
Male,2010,0.01,100,1000
Male,2010,0.41,3600,38000
Male,2010,0.03,100,910
Male,2010,0.97,500,2600
Male,2010,0.28,100,3100
Male,2011,0.32,500,4600
Male,2011,1.77,100,500
Male,2011,0.86,100,700
Male,2011,0.87,200,2000
Male,2011,,,4300
Male,2011,,,200
Male,2011,0.01,100,1100
Male,2011,0.4,3600,40000
Male,2011,0.02,100,1000
Male,2011,0.94,500,2800
Male,2011,0.25,100,3300
Male,2012,0.31,500,4700
Male,2012,1.79,100,500
Male,2012,0.82,100,770
Male,2012,0.82,200,2000
Male,2012,,,4400
Male,2012,,,200
Male,2012,0.01,100,1200
Male,2012,0.38,3600,42000
Male,2012,0.02,100,1100
Male,2012,0.9,500,2900
Male,2012,0.23,100,3400
Male,2013,0.29,500,4800
Male,2013,1.79,100,500
Male,2013,0.78,100,830
Male,2013,0.78,200,2000
Male,2013,,,4400
Male,2013,,,200
Male,2013,0.01,100,1200
Male,2013,0.36,3400,44000
Male,2013,0.02,100,1200
Male,2013,0.89,500,3000
Male,2013,0.21,100,3500
Male,2014,0.28,500,4900
Male,2014,1.7,100,510
Male,2014,0.74,100,880
Male,2014,0.75,200,2000
Male,2014,,,4500
Male,2014,,,200
Male,2014,0.01,100,1300
Male,2014,0.33,3200,45000
Male,2014,0.02,100,1200
Male,2014,0.87,500,3100
Male,2014,0.2,100,3600
Male,2015,0.25,200,4900
Male,2015,1.73,100,540
Male,2015,0.7,100,920
Male,2015,0.71,200,1900
Male,2015,,,4500
Male,2015,,,200
Male,2015,0.01,100,1300
Male,2015,0.31,3100,47000
Male,2015,0.02,100,1300
Male,2015,0.85,500,3100
Male,2015,0.2,100,3700
Male,2016,0.22,200,4800
Male,2016,1.77,100,580
Male,2016,0.64,100,940
Male,2016,0.68,200,1900
Male,2016,,,4500
Male,2016,,,200
Male,2016,0.01,100,1300
Male,2016,0.3,3100,47000
Male,2016,0.02,100,1300
Male,2016,0.82,500,3200
Male,2016,0.19,100,3700
Male,2017,0.22,200,4800
Male,2017,1.72,100,610
Male,2017,0.59,100,960
Male,2017,0.64,200,1900
Male,2017,,,4600
Male,2017,,,200
Male,2017,0.01,100,1300
Male,2017,0.29,3100,48000
Male,2017,0.01,100,1400
Male,2017,0.77,500,3200
Male,2017,0.17,100,3700
Male,2018,0.22,200,4700
Male,2018,1.64,100,650
Male,2018,0.56,100,970
Male,2018,0.58,200,1800
Male,2018,,,4700
Male,2018,,,200
Male,2018,0.01,100,1300
Male,2018,0.28,3100,49000
Male,2018,0.01,100,1400
Male,2018,0.72,500,3200
Male,2018,0.16,100,3700
Male,2019,0.2,200,4600
Male,2019,1.67,100,690
Male,2019,0.51,100,980
Male,2019,0.53,200,1800
Male,2019,,,4800
Male,2019,,,200
Male,2019,0.01,100,1200
Male,2019,0.28,3100,49000
Male,2019,0.01,100,1400
Male,2019,0.68,500,3200
Male,2019,0.15,100,3700
